Feature Word,Priority Index Old,Proximity Score,Neighbour,Section
prospective,0.445909868828,1.0728373428547737,universe,NA
named,0.0880784717961,1.0613037502955158,asked,NA
chariot,0.556420368866,1.1874301147203581,destroy,NA
help,0.261729582388,1.2241499013476371,hatred,NA
people,-0.0604075773062,1.0424048660921621,also,NA
appeared,0.162581951585,1.0392625662558739,gave,NA
relieve,0.499217300713,1.1214276619323675,reptiles,NA
Rukmini,0.670017352505,1.0705605990383347,Ordered,NA
traverse,0.679439663721,1.0973296823697234,Shishupala,NA
Shishupala,0.691468801566,1.0973296823697234,traverse,NA
mortals,0.445909868828,1.4319640713172523,worship,NA
year,0.4639349802,1.3346580617651767,reptiles,NA
carry,0.401844509676,1.1694774694461756,reptiles,NA
earth,0.282335500648,1.3918068672731372,celestials,NA
worship,0.437890414115,1.4609549485868665,reptiles,NA
living,0.218922651639,1.0857850795542681,help,NA
Maya,0.716680709048,1.0664882550263499,Shishupala,NA
Salva.,0.793437204277,1.1386511953534835,friend,NA
began,0.152521937692,1.0560976770525465,gave,NA
Yadus,0.651880410751,1.0473847668767129,traverse,NA
also,-0.125512798857,1.0424048660921621,people,NA
reptiles,0.445909868828,1.4609549485868665,worship,NA
boon,0.41362442787,1.1792515140361304,reptiles,NA
denied,0.308136615064,1.3049668158478354,celestials,NA
terror,0.521936474582,1.0987545845465456,relieve,NA
destroy,0.549221223989,1.1874301147203581,chariot,NA
friend,0.76005276593,1.1386511953534835,Salva.,NA
gave,0.100370329211,1.1085456114755863,asked,NA
Krishna,0.3,1.4289472986373437,celestials,NA
Yadavas,0.83270267303,1.0374445067321563,friend,NA
offer,0.362363988484,1.0678332030676967,vowed,NA
Shiva,0.750077087978,1.0902473513019577,Salva.,NA
handful,0.549221223989,1.0906919909937216,chariot,NA
Salva,1.0,0.99158082386270119,Shiva,NA
Soubha,0.793437204277,1.1008372329843517,friend,NA
strike,0.549221223989,1.1316541791890047,nearly,NA
asura,0.568198716375,1.115527949476306,nearly,NA
nearly,0.565442123165,1.176881947898516,chariot,NA
dust,0.308136615064,1.2448032943540448,celestials,NA
succumbing,0.445909868828,1.3160005622387954,worship,NA
vowed,0.38176173893,1.091817142873551,reptiles,NA
entire,0.293291900816,1.5518334335445054,celestials,NA
resolve,0.549221223989,1.1723147828880711,chariot,NA
Ordered,0.679439663721,1.0705605990383347,Rukmini,NA
especially,0.445909868828,1.0905545343599889,universe,NA
celestials,0.291700483218,1.5518334335445054,entire,NA
attacks,0.445909868828,1.3594868781432166,worship,NA
universe,0.4639349802,1.2578835652425773,reptiles,NA
could,-0.0604075773062,1.0399394669007573,also,NA
created,0.244757332011,1.1487540254397954,help,NA
bride,0.597223700855,1.0484055699506776,chariot,NA
architect,0.549221223989,1.108830389192466,chariot,NA
undesirable,0.38176173893,1.0805950476334503,reptiles,NA
iron,0.499217300713,1.0910707464492757,reptiles,NA
hearts,0.254831166097,1.2109640647960331,hatred,NA
hatred,0.244757332011,1.2241499013476371,help,NA
asked,0.133705614237,1.1085456114755863,gave,NA
unhindered,0.445909868828,1.1130644213514955,worship,NA
Shiva living,1.0,0.98991612811052831,asura,NA
"universe unhindered,",1.0,0.98842511954207768,universe,NA
entire universe,1.0,0.98651999891193642,entire,NA
asura architect,1.0,0.98991612811052831,asura,NA
strike terror,1.0,0.98961962761912037,strike,NA
