S.No,Trigram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
34,the earth of,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['DT', 'NN', 'IN']"
35,earth of these,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', 'IN', 'DT']"
36,of these undesirable,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'DT', 'JJ']"
37,these undesirable people,0 0 1,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['DT', 'JJ', 'NNS']"
38,To carry out,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.2388820889151366,0.01096355830898351,No,"['TO', 'VB', 'RP']"
39,carry out the,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.0170333392987803,0.009000295038042304,No,"['NN', 'IN', 'DT']"
40,"out the resolve,",0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'DT', 'NNP']"
41,"the resolve, Salva",0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['DT', 'NN', ',', 'NNP']"
42,"resolve, Salva began",0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', ',', 'NNP', 'VBD']"
43,Salva began to,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NNP', 'VBD', 'TO']"
44,began to worship,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['VBD', 'TO', 'NN']"
45,to worship Shiva,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['TO', 'NN', 'NNP']"
46,worship Shiva living,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', 'NNP', 'NN']"
47,Shiva living on,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NNP', 'NN', 'IN']"
48,living on a,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['VBG', 'IN', 'DT']"
49,on a handful,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'DT', 'NN']"
50,a handful of,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.1139433523068367,0.009857905772626874,No,"['DT', 'NN', 'IN']"
51,handful of dust,0 0 2,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', 'IN', 'NN']"
52,After nearly a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'RB', 'DT']"
53,"nearly a year,",0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['RB', 'DT', 'JJ']"
54,"a year, Shiva",0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['DT', 'NN', ',', 'NNP']"
55,"year, Shiva appeared",0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', ',', 'NNP', 'VBD']"
56,Shiva appeared with,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NNP', 'VBD', 'IN']"
57,appeared with the,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['VBD', 'IN', 'DT']"
58,with the offer,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'DT', 'NN']"
59,the offer of,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['DT', 'NN', 'IN']"
60,offer of a,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NN', 'IN', 'DT']"
61,of a boon,0 0 3,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.2388820889151366,0.01096355830898351,No,"['IN', 'DT', 'NN']"
62,Salva asked for,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['NNP', 'VBD', 'IN']"
63,asked for a,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.2388820889151366,0.01096355830898351,No,"['VBD', 'IN', 'DT']"
64,for a chariot,0 0 4,"['query', 'body', 'statement', 'word']",{},0.008849557522123894,1.414973347970818,0.012521888035139981,No,"['IN', 'DT', 'NN']"
