began,gave,0.6805483463778321,NA
asked,gave,0.7143457458211762,NA
resolve,chariot,0.7554385396958584,NA
universe,reptiles,0.810578982287729,NA
celestials,entire,1.0,NA
entire universe,entire,0.6357125562494487,NA
appeared,gave,0.6696998168689531,NA
bride,chariot,0.6755915598209787,NA
rukmini,ordered,0.6898682396557811,NA
relieve,reptiles,0.7226469269778146,NA
friend,salva.,0.7337457556593028,NA
destroy,chariot,0.7651788452631656,NA
strike terror,strike,0.6377099540630169,NA
boon,reptiles,0.7599085627009791,NA
named,asked,0.6839031350622582,NA
could,also,0.6701360110056764,NA
also,people,0.6717247119178443,NA
traverse,shishupala,0.7071182116906317,NA
handful,chariot,0.7028408896323997,NA
unhindered,worship,0.7172576626404883,NA
nearly,chariot,0.7583816165182291,NA
reptiles,worship,0.9414379900618164,NA
created,help,0.7402560098321597,NA
help,hatred,0.7888410411106982,NA
krishna,celestials,0.9208122906422499,NA
maya,shishupala,0.6872440250178202,NA
yadus,traverse,0.6749337552835207,NA
carry,reptiles,0.7536101775916764,NA
salva.,friend,0.7337457556593028,NA
especially,universe,0.7027523127073501,NA
gave,asked,0.7143457458211762,NA
dust,celestials,0.8021500680719448,NA
succumbing,worship,0.8480295203029298,NA
soubha,friend,0.709378473996372,NA
worship,reptiles,0.9414379900618164,NA
entire,celestials,1.0,NA
salva,shiva,0.6389737470714594,NA
asura architect,asura,0.6379010186998515,NA
living,help,0.6996788805318187,NA
hatred,help,0.7888410411106982,NA
hearts,hatred,0.7803441004812606,NA
people,also,0.6717247119178443,NA
shiva living,asura,0.6379010186998515,NA
strike,nearly,0.7292368850464966,NA
denied,celestials,0.8409193845419299,NA
"universe unhindered,",universe,0.6369402141855132,NA
iron,reptiles,0.7030849592905002,NA
undesirable,reptiles,0.6963344288602477,NA
chariot,destroy,0.7651788452631656,NA
architect,chariot,0.7145292563131683,NA
asura,nearly,0.7188451578391086,NA
shiva,salva.,0.7025543642346653,NA
shishupala,traverse,0.7071182116906317,NA
earth,celestials,0.8968790317232337,NA
year,reptiles,0.8600523953893146,NA
offer,vowed,0.6881107082663405,NA
ordered,rukmini,0.6898682396557811,NA
prospective,universe,0.6913353712223688,NA
vowed,reptiles,0.7035659364418756,NA
attacks,worship,0.8760520612305956,NA
terror,relieve,0.7080364173085939,NA
mortals,worship,0.9227562961100391,NA
yadavas,friend,0.668528261027702,NA
